,Cylinders,Displacement,Horse_power,Weight,Model_year,Origin,Mpg
0,27.0,4.0,97.0,88.0,2100.0,72.0,3.0
1,22.0,6.0,225.0,100.0,3233.0,76.0,1.0
2,25.0,4.0,140.0,75.0,2542.0,74.0,1.0
3,30.0,4.0,98.0,68.0,2155.0,78.0,1.0
4,26.8,6.0,173.0,115.0,2700.0,79.0,1.0
5,26.0,4.0,108.0,93.0,2391.0,74.0,3.0
6,35.7,4.0,98.0,80.0,1915.0,79.0,1.0
7,21.0,6.0,200.0,85.0,2587.0,70.0,1.0
8,30.0,4.0,111.0,80.0,2155.0,77.0,1.0
9,31.8,4.0,84.99999999999999,65.0,2020.0,79.0,3.0
10,30.0,4.0,79.0,70.0,2074.0,71.0,2.0
11,15.0,8.0,350.0,145.0,4082.0,73.0,1.0
12,39.0,4.0,86.0,64.0,1875.0,81.0,1.0
13,36.0,4.0,79.0,58.0,1825.0,77.0,2.0
14,31.0,4.0,119.0,82.0,2720.0,82.0,1.0
15,14.0,8.0,304.0,150.0,4257.0,74.0,1.0
16,29.8,4.0,134.0,90.0,2711.0,80.0,3.0
17,19.0,6.0,225.0,100.0,3630.0,77.0,1.0
18,16.0,6.0,250.0,100.0,3278.0,73.0,1.0
19,17.5,8.0,305.0,140.0,4215.0,76.0,1.0
20,13.0,8.0,350.0,150.0,4699.0,74.0,1.0
21,28.0,4.0,89.99999999999999,75.0,2125.0,74.0,1.0
22,14.0,8.0,400.0,175.0,4464.0,71.0,1.0
23,14.0,8.0,318.0,150.0,4077.0,72.0,1.0
24,27.9,4.0,156.0,105.0,2800.0,80.0,1.0
25,20.8,6.0,200.0,85.0,3070.0,78.0,1.0
26,20.5,6.0,200.0,95.0,3155.0,78.0,1.0
27,22.3,4.0,140.0,88.0,2890.0,79.0,1.0
28,24.0,4.0,134.0,96.0,2702.0,75.0,3.0
29,27.0,4.0,101.0,83.0,2202.0,76.0,2.0
30,10.0,8.0,307.0,200.0,4376.0,70.0,1.0
31,19.2,8.0,305.0,145.0,3425.0,78.0,1.0
32,23.8,4.0,151.0,85.0,2855.0,78.0,1.0
33,21.0,6.0,155.0,107.0,2472.0,73.0,1.0
34,22.0,4.0,108.0,94.0,2379.0,73.0,3.0
35,27.2,4.0,135.0,84.0,2490.0,81.0,1.0
36,17.6,6.0,225.0,85.0,3465.0,81.0,1.0
37,25.0,4.0,116.0,81.0,2220.0,76.0,2.0
38,25.0,4.0,121.0,115.0,2671.0,75.0,2.0
39,12.0,8.0,400.0,167.0,4906.0,73.0,1.0
40,16.0,6.0,250.0,100.0,3781.0,74.0,1.0
41,18.0,6.0,171.0,97.0,2984.0,75.0,1.0
42,15.0,8.0,318.0,150.0,3777.0,73.0,1.0
43,27.0,4.0,97.0,60.0,1834.0,71.0,2.0
44,32.9,4.0,119.0,100.0,2615.0,81.0,3.0
45,31.0,4.0,79.0,67.0,1950.0,74.0,3.0
46,15.0,8.0,429.0,198.0,4341.0,70.0,1.0
47,13.0,8.0,350.0,165.0,4274.0,72.0,1.0
48,19.0,6.0,232.0,100.0,2634.0,71.0,1.0
49,13.0,8.0,350.0,145.0,4055.0,76.0,1.0
50,20.2,6.0,232.0,90.0,3265.0,79.0,1.0
51,27.5,4.0,134.0,95.0,2560.0,78.0,3.0
52,24.0,6.0,200.0,81.0,3012.0,76.0,1.0
53,18.1,8.0,302.0,139.0,3205.0,78.0,1.0
54,13.0,8.0,302.0,129.0,3169.0,75.0,1.0
55,16.0,8.0,318.0,150.0,4190.0,76.0,1.0
56,16.0,8.0,400.0,170.0,4668.0,75.0,1.0
57,19.0,6.0,232.0,100.0,2901.0,74.0,1.0
58,30.9,4.0,105.0,75.0,2230.0,78.0,1.0
59,24.5,4.0,151.0,88.0,2740.0,77.0,1.0
60,12.0,8.0,383.0,180.0,4955.0,71.0,1.0
61,16.0,8.0,304.0,150.0,3433.0,70.0,1.0
62,15.0,8.0,400.0,150.0,3761.0,70.0,1.0
63,22.0,6.0,250.0,105.0,3353.0,76.0,1.0
64,32.0,4.0,71.0,65.0,1836.0,74.0,3.0
65,27.0,4.0,97.0,88.0,2130.0,70.0,3.0
66,15.0,8.0,304.0,150.0,3892.0,72.0,1.0
67,32.0,4.0,84.99999999999999,70.0,1990.0,76.0,3.0
68,18.0,6.0,232.0,100.0,3288.0,71.0,1.0
69,15.0,6.0,250.0,72.0,3432.0,75.0,1.0
70,23.9,8.0,260.0,90.0,3420.0,79.0,1.0
71,25.5,4.0,140.0,89.0,2755.0,77.0,1.0
72,40.8,4.0,84.99999999999999,65.0,2110.0,80.0,3.0
73,9.0,8.0,304.0,193.0,4732.0,70.0,1.0
74,30.5,4.0,97.0,78.0,2190.0,77.0,2.0
75,15.0,8.0,318.0,150.0,4135.0,72.0,1.0
76,18.0,4.0,121.0,112.0,2933.0,72.0,2.0
77,16.0,8.0,318.0,150.0,4498.0,75.0,1.0
78,29.0,4.0,84.99999999999999,52.0,2035.0,76.0,1.0
79,25.5,4.0,122.0,96.0,2300.0,77.0,1.0
80,17.0,8.0,305.0,130.0,3840.0,79.0,1.0
81,26.0,4.0,116.0,75.0,2246.0,74.0,2.0
82,13.0,8.0,318.0,150.0,3755.0,76.0,1.0
83,27.0,4.0,151.0,90.0,2735.0,82.0,1.0
84,14.0,8.0,455.0,225.0,3086.0,70.0,1.0
85,34.0,4.0,108.0,70.0,2245.0,82.0,3.0
86,34.3,4.0,97.0,78.0,2188.0,80.0,2.0
87,20.3,5.0,131.0,103.0,2830.0,78.0,2.0
88,36.0,4.0,107.0,75.0,2205.0,82.0,3.0
89,14.0,8.0,400.0,175.0,4385.0,72.0,1.0
90,24.0,4.0,119.0,97.0,2545.0,75.0,3.0
91,14.0,8.0,318.0,150.0,4457.0,74.0,1.0
92,18.5,6.0,250.0,98.0,3525.0,77.0,1.0
93,18.0,6.0,250.0,78.0,3574.0,76.0,1.0
94,13.0,8.0,360.0,170.0,4654.0,73.0,1.0
95,32.4,4.0,107.0,72.0,2290.0,80.0,3.0
96,15.5,8.0,318.0,145.0,4140.0,77.0,1.0
97,16.0,8.0,400.0,180.0,4220.0,77.0,1.0
98,17.5,6.0,250.0,110.0,3520.0,77.0,1.0
99,27.2,4.0,119.0,97.0,2300.0,78.0,3.0
100,19.0,3.0,70.0,97.0,2330.0,72.0,3.0
101,20.0,6.0,156.0,122.0,2807.0,73.0,3.0
102,26.6,8.0,350.0,105.0,3725.0,81.0,1.0
103,14.0,8.0,302.0,137.0,4042.0,73.0,1.0
104,23.0,4.0,122.0,86.0,2220.0,71.0,1.0
105,16.0,8.0,400.0,230.0,4278.0,73.0,1.0
106,18.0,6.0,232.0,100.0,2945.0,73.0,1.0
107,18.0,6.0,250.0,88.0,3139.0,71.0,1.0
108,28.1,4.0,141.0,80.0,3230.0,81.0,2.0
109,11.0,8.0,318.0,210.0,4382.0,70.0,1.0
110,22.5,6.0,232.0,90.0,3085.0,76.0,1.0
111,14.0,8.0,350.0,165.0,4209.0,71.0,1.0
112,44.6,4.0,91.0,67.0,1850.0,80.0,3.0
113,15.0,8.0,350.0,165.0,3693.0,70.0,1.0
114,29.0,4.0,135.0,84.0,2525.0,82.0,1.0
115,18.0,6.0,250.0,105.0,3459.0,75.0,1.0
116,16.0,8.0,302.0,140.0,4141.0,74.0,1.0
117,13.0,8.0,350.0,145.0,3988.0,73.0,1.0
118,41.5,4.0,98.0,76.0,2144.0,80.0,2.0
119,17.0,8.0,260.0,110.0,4060.0,77.0,1.0
120,30.0,4.0,146.0,67.0,3250.0,80.0,2.0
121,17.5,8.0,318.0,140.0,4080.0,78.0,1.0
122,11.0,8.0,350.0,180.0,3664.0,73.0,1.0
123,20.2,8.0,302.0,139.0,3570.0,78.0,1.0
124,31.0,4.0,71.0,65.0,1773.0,71.0,3.0
125,23.0,8.0,350.0,125.0,3900.0,79.0,1.0
126,18.0,6.0,225.0,105.0,3613.0,74.0,1.0
127,33.0,4.0,105.0,74.0,2190.0,81.0,2.0
128,26.0,4.0,97.0,46.0,1835.0,70.0,2.0
129,24.3,4.0,151.0,90.0,3003.0,80.0,1.0
130,23.0,4.0,115.0,95.0,2694.0,75.0,2.0
131,32.2,4.0,108.0,75.0,2265.0,80.0,3.0
132,19.0,4.0,122.0,85.0,2310.0,73.0,1.0
133,17.6,8.0,302.0,129.0,3725.0,79.0,1.0
134,34.7,4.0,105.0,63.0,2215.0,81.0,1.0
135,18.5,6.0,250.0,110.0,3645.0,76.0,1.0
136,13.0,8.0,350.0,175.0,4100.0,73.0,1.0
137,19.2,6.0,231.0,105.0,3535.0,78.0,1.0
138,21.5,6.0,231.0,115.0,3245.0,79.0,1.0
139,20.5,6.0,231.0,105.0,3425.0,77.0,1.0
140,39.1,4.0,79.0,58.0,1755.0,81.0,3.0
141,34.5,4.0,105.0,70.0,2150.0,79.0,1.0
142,24.5,4.0,98.0,60.0,2164.0,76.0,1.0
143,32.1,4.0,98.0,70.0,2120.0,80.0,1.0
144,32.0,4.0,91.0,67.0,1965.0,82.0,3.0
145,33.5,4.0,84.99999999999999,70.0,1945.0,77.0,3.0
146,19.0,4.0,120.0,88.0,3270.0,76.0,2.0
147,27.0,4.0,97.0,88.0,2130.0,71.0,3.0
148,13.0,8.0,360.0,175.0,3821.0,73.0,1.0
149,27.0,4.0,151.0,90.0,2950.0,82.0,1.0
150,11.0,8.0,429.0,208.0,4633.0,72.0,1.0
151,20.6,6.0,225.0,110.0,3360.0,79.0,1.0
152,24.2,6.0,146.0,120.0,2930.0,81.0,3.0
153,21.5,4.0,121.0,110.0,2600.0,77.0,2.0
154,29.5,4.0,98.0,68.0,2135.0,78.0,3.0
155,29.8,4.0,89.0,62.0,1845.0,80.0,2.0
156,25.0,4.0,110.0,87.0,2672.0,70.0,2.0
157,14.0,8.0,340.0,160.0,3609.0,70.0,1.0
158,24.0,4.0,113.0,95.0,2372.0,70.0,3.0
159,25.0,4.0,113.0,95.0,2228.0,71.0,3.0
160,15.5,8.0,304.0,120.0,3962.0,76.0,1.0
161,23.0,4.0,140.0,83.0,2639.0,75.0,1.0
162,37.7,4.0,89.0,62.0,2050.0,81.0,3.0
163,44.3,4.0,89.99999999999999,48.0,2085.0,80.0,2.0
164,43.1,4.0,89.99999999999999,48.0,1985.0,78.0,2.0
165,33.8,4.0,97.0,67.0,2145.0,80.0,3.0
166,23.0,6.0,198.0,95.0,2904.0,73.0,1.0
167,20.5,6.0,225.0,100.0,3430.0,78.0,1.0
168,24.0,4.0,120.0,97.0,2489.0,74.0,3.0
169,37.0,4.0,91.0,68.0,2025.0,82.0,3.0
170,16.5,8.0,350.0,180.0,4380.0,76.0,1.0
171,16.5,6.0,168.0,120.0,3820.0,76.0,2.0
172,13.0,8.0,302.0,130.0,3870.0,76.0,1.0
173,37.0,4.0,119.0,92.0,2434.0,80.0,3.0
174,20.2,6.0,200.0,88.0,3060.0,81.0,1.0
175,35.1,4.0,81.0,60.0,1760.0,81.0,3.0
176,14.0,8.0,318.0,150.0,4096.0,71.0,1.0
177,38.1,4.0,89.0,60.0,1968.0,80.0,3.0
178,22.0,4.0,140.0,72.0,2408.0,71.0,1.0
179,18.0,6.0,232.0,100.0,2789.0,73.0,1.0
180,31.0,4.0,76.0,52.0,1649.0,74.0,3.0
181,32.0,4.0,135.0,84.0,2295.0,82.0,1.0
182,25.0,6.0,181.0,110.0,2945.0,82.0,1.0
183,23.2,4.0,156.0,105.0,2745.0,78.0,1.0
184,28.0,4.0,120.0,79.0,2625.0,82.0,1.0
185,16.0,8.0,351.0,149.0,4335.0,77.0,1.0
186,23.0,4.0,120.0,88.0,2957.0,75.0,2.0
187,28.0,4.0,151.0,90.0,2678.0,80.0,1.0
188,30.7,6.0,145.0,76.0,3160.0,81.0,2.0
189,31.3,4.0,120.0,75.0,2542.0,80.0,3.0
190,18.0,8.0,318.0,150.0,3436.0,70.0,1.0
191,25.4,5.0,183.0,77.0,3530.0,79.0,2.0
192,17.0,6.0,163.0,125.0,3140.0,78.0,2.0
193,14.0,8.0,455.0,225.0,4425.0,70.0,1.0
194,24.0,4.0,140.0,92.0,2865.0,82.0,1.0
195,21.0,6.0,199.0,90.0,2648.0,70.0,1.0
196,17.0,8.0,302.0,140.0,3449.0,70.0,1.0
197,33.0,4.0,91.0,53.0,1795.0,76.0,3.0
198,38.0,6.0,262.0,85.0,3015.0,82.0,1.0
199,29.0,4.0,89.99999999999999,70.0,1937.0,75.0,2.0
200,31.0,4.0,91.0,68.0,1970.0,82.0,3.0
201,18.0,3.0,70.0,90.0,2124.0,73.0,3.0
202,39.4,4.0,84.99999999999999,70.0,2070.0,78.0,3.0
203,18.0,6.0,199.0,97.0,2774.0,70.0,1.0
204,24.0,4.0,107.0,90.0,2430.0,70.0,2.0
205,35.0,4.0,71.99999999999999,69.0,1613.0,71.0,3.0
206,20.6,6.0,231.0,105.0,3380.0,78.0,1.0
207,33.5,4.0,151.0,90.0,2556.0,79.0,1.0
208,21.0,6.0,231.0,110.0,3039.0,75.0,1.0
209,34.1,4.0,86.0,65.0,1975.0,79.0,3.0
210,13.0,8.0,318.0,150.0,3940.0,76.0,1.0
211,30.5,4.0,98.0,63.0,2051.0,77.0,1.0
212,19.8,6.0,200.0,85.0,2990.0,79.0,1.0
213,24.0,4.0,121.0,110.0,2660.0,73.0,2.0
214,20.2,6.0,200.0,85.0,2965.0,78.0,1.0
215,18.1,6.0,258.0,120.0,3410.0,78.0,1.0
216,26.4,4.0,140.0,88.0,2870.0,80.0,1.0
217,32.0,4.0,144.0,96.0,2665.0,82.0,3.0
218,14.0,8.0,440.0,215.0,4312.0,70.0,1.0
219,33.7,4.0,107.0,75.0,2210.0,81.0,3.0
220,18.5,8.0,360.0,150.0,3940.0,79.0,1.0
221,26.0,4.0,156.0,92.0,2585.0,82.0,1.0
222,14.0,8.0,318.0,150.0,4237.0,73.0,1.0
223,21.0,4.0,122.0,86.0,2226.0,72.0,1.0
224,12.0,8.0,455.0,225.0,4951.0,73.0,1.0
225,22.0,4.0,121.0,98.0,2945.0,75.0,2.0
226,16.5,8.0,351.0,138.0,3955.0,79.0,1.0
227,30.0,4.0,88.0,76.0,2065.0,71.0,2.0
228,31.0,4.0,112.0,85.0,2575.0,82.0,1.0
229,29.5,4.0,97.0,71.0,1825.0,76.0,2.0
230,15.0,8.0,383.0,170.0,3563.0,70.0,1.0
231,31.9,4.0,89.0,71.0,1925.0,79.0,2.0
232,18.0,6.0,225.0,95.0,3785.0,75.0,1.0
233,26.0,4.0,122.0,80.0,2451.0,74.0,1.0
234,22.0,6.0,146.0,97.0,2815.0,77.0,3.0
235,14.0,8.0,454.0,220.0,4354.0,70.0,1.0
236,28.0,4.0,116.0,90.0,2123.0,71.0,2.0
237,29.0,4.0,97.0,78.0,1940.0,77.0,2.0
238,14.5,8.0,351.0,152.0,4215.0,76.0,1.0
239,26.0,4.0,98.0,79.0,2255.0,76.0,1.0
240,38.0,4.0,105.0,63.0,2125.0,82.0,1.0
241,14.0,8.0,351.0,153.0,4129.0,72.0,1.0
242,22.0,4.0,122.0,86.0,2395.0,72.0,1.0
243,18.2,8.0,318.0,135.0,3830.0,79.0,1.0
244,23.5,6.0,173.0,110.0,2725.0,81.0,1.0
245,17.0,8.0,304.0,150.0,3672.0,72.0,1.0
246,29.9,4.0,98.0,65.0,2380.0,81.0,1.0
247,18.0,6.0,258.0,110.0,2962.0,71.0,1.0
248,46.6,4.0,86.0,65.0,2110.0,80.0,3.0
249,15.0,6.0,250.0,72.0,3158.0,75.0,1.0
250,20.0,4.0,114.0,91.0,2582.0,73.0,2.0
251,15.5,8.0,351.0,142.0,4054.0,79.0,1.0
252,30.0,4.0,135.0,84.0,2385.0,81.0,1.0
253,25.0,4.0,140.0,92.0,2572.0,76.0,1.0
254,20.0,6.0,225.0,100.0,3651.0,76.0,1.0
255,17.0,6.0,250.0,100.0,3329.0,71.0,1.0
256,14.0,8.0,304.0,150.0,3672.0,73.0,1.0
257,36.1,4.0,98.0,66.0,1800.0,78.0,1.0
258,25.4,6.0,168.0,116.0,2900.0,81.0,3.0
259,15.0,6.0,258.0,110.0,3730.0,75.0,1.0
260,24.0,4.0,116.0,75.0,2158.0,73.0,2.0
261,23.7,3.0,70.0,100.0,2420.0,80.0,3.0
262,23.9,4.0,119.0,97.0,2405.0,78.0,3.0
263,32.3,4.0,97.0,67.0,2065.0,81.0,3.0
264,23.0,4.0,140.0,78.0,2592.0,75.0,1.0
265,36.4,5.0,121.0,67.0,2950.0,80.0,2.0
266,19.1,6.0,225.0,90.0,3381.0,80.0,1.0
267,11.0,8.0,400.0,150.0,4997.0,73.0,1.0
268,18.6,6.0,225.0,110.0,3620.0,78.0,1.0
269,38.0,4.0,91.0,67.0,1965.0,82.0,3.0
270,27.0,4.0,112.0,88.0,2640.0,82.0,1.0
271,13.0,8.0,400.0,190.0,4422.0,72.0,1.0
272,12.0,8.0,350.0,180.0,4499.0,73.0,1.0
273,32.8,4.0,78.0,52.0,1985.0,78.0,3.0
